"","label","eggs","emb","tot","suc","prop","obs","spp"
"1","e1",124,46,170,46,0.270588235294118,"001","a.hyc"
"2","e2",152,3,155,3,0.0193548387096774,"002","a.hyc"
"3","e3",68,18,86,18,0.209302325581395,"003","a.hyc"
"4","e4",199,40,239,40,0.167364016736402,"004","a.hyc"
"5","e5",204,8,212,8,0.0377358490566038,"005","a.hyc"
"6","e6",147,6,153,6,0.0392156862745098,"006","a.hyc"
"7","e7",154,10,164,10,0.0609756097560976,"007","a.hyc"
"8","e8",142,10,152,10,0.0657894736842105,"008","a.hyc"
"9","e9",99,24,123,24,0.195121951219512,"009","a.hyc"
"10","e10",143,0,143,0,0,"010","a.hyc"
"11","e11",167,0,167,0,0,"011","a.hyc"
"12","e12",195,4,199,4,0.0201005025125628,"012","a.hyc"
"13","e13",149,1,150,1,0.00666666666666667,"013","a.hyc"
"15","whi",67,2,69,2,0.0289855072463768,"014","a.dig"
"21","blu",65,0,65,0,0,"015","a.dig"
"31","red1",48,0,48,0,0,"016","a.dig"
"41","yel",44,11,55,11,0.2,"017","a.dig"
"61","ora",107,8,115,8,0.0695652173913043,"018","a.dig"
"81","red2",61,3,64,3,0.046875,"019","a.dig"
"131","whi",55,0,55,0,0,"020","a.ten"
"14","blu",112,0,112,0,0,"021","a.ten"
"16","red1",99,1,100,1,0.01,"022","a.ten"
"19","ora1",92,30,122,30,0.245901639344262,"023","a.ten"
"20","yel",100,2,102,2,0.0196078431372549,"024","a.ten"
"22","red2",99,2,101,2,0.0198019801980198,"025","a.ten"
