"","id","sex","age","stage","genotype","rep","species"
"1","sp1.a.1",4,1,"adults","1",1,"spath"
"2","sp3.a.3",4,1,"adults","3",3,"spath"
"3","sp6.a.2",4,1,"adults","6",2,"spath"
"4","sp.l.4",4,0,"larvae","na",4,"spath"
"5","at3.a",4,1,"adult","3",1,"tenuis"
"6","at11.a",4,1,"adult","11",1,"tenuis"
"7","sp1.a.2",4,1,"adults","1",2,"spath"
"8","sp4.a.1",4,1,"adults","4",1,"spath"
"9","sp6.a.3",4,1,"adults","6",3,"spath"
"10","sp.l.13",4,0,"larvae","na",13,"spath"
"11","at4.a",4,1,"adult","4",1,"tenuis"
"12","at12.a",4,1,"adult","12",1,"tenuis"
"13","sp1.a.3",4,1,"adults","1",3,"spath"
"14","at.l.2.14",4,0,"larvae","na",14,"tenuis"
"15","sp4.a.2",4,1,"adults","4",2,"spath"
"16","sp9.a.1",4,1,"adults","9",1,"spath"
"17","sp.l.14",4,0,"larvae","na",14,"spath"
"18","at5.a",4,1,"adult","5",1,"tenuis"
"19","at.l.1.6",4,0,"larvae","na",6,"tenuis"
"20","sp2.a.1",4,1,"adults","2",1,"spath"
"21","sp4.a.3",4,1,"adults","4",3,"spath"
"22","sp.l.7",4,0,"larvae","na",7,"spath"
"23","sp.l.15",4,0,"larvae","na",15,"spath"
"24","at6.a",4,1,"adult","6",1,"tenuis"
"25","at14.a",4,1,"adult","14",1,"tenuis"
"26","sp2.a.2",4,1,"adults","2",2,"spath"
"27","at.l.2.16",4,0,"larvae","na",16,"tenuis"
"28","sp5.a.1",4,1,"adults","5",1,"spath"
"29","sp.l.8",4,0,"larvae","na",8,"spath"
"30","at7.a",4,1,"adult","7",1,"tenuis"
"31","at.l.1.8",4,0,"larvae","na",8,"tenuis"
"32","sp2.a.3",4,1,"adults","2",3,"spath"
"33","sp5.a.2",4,1,"adults","5",2,"spath"
"34","at8.a",4,1,"adult","8",1,"tenuis"
"35","at.l.1.1",4,0,"larvae","na",1,"tenuis"
"36","sp3.a.1",4,1,"adults","3",1,"spath"
"37","sp5.a.3",4,1,"adults","5",3,"spath"
"38","sp.l.2",4,0,"larvae","na",2,"spath"
"39","sp.l.10",4,0,"larvae","na",10,"spath"
"40","sp.l.18",4,0,"larvae","na",18,"spath"
"41","at1.a",4,1,"adult","1",1,"tenuis"
"42","at9.a",4,1,"adult","9",1,"tenuis"
"43","sp3.a.2",4,1,"adults","3",2,"spath"
"44","sp6.a.1",4,1,"adults","6",1,"spath"
"45","at2.a",4,1,"adult","2",1,"tenuis"
