Offspring ID,Candidate ,Candidate ,Candidate ,Candidate ,Candidate ,Candidate ,Candidate ,Candidate 
at.l.1.1,at1.a,at2.a,at3.a,at5.a,at6.a,at7.a,at8.a,at9.a
at.l.1.10,at1.a,at2.a,at3.a,at5.a,at6.a,at7.a,at8.a,at9.a
at.l.1.2,at1.a,at2.a,at3.a,at5.a,at6.a,at7.a,at8.a,at9.a
at.l.1.3,at1.a,at2.a,at3.a,at5.a,at6.a,at7.a,at8.a,at9.a
at.l.1.4,at1.a,at2.a,at3.a,at5.a,at6.a,at7.a,at8.a,at9.a
at.l.1.5,at1.a,at2.a,at3.a,at5.a,at6.a,at7.a,at8.a,at9.a
at.l.1.6,at1.a,at2.a,at3.a,at5.a,at6.a,at7.a,at8.a,at9.a
at.l.1.7,at1.a,at2.a,at3.a,at5.a,at6.a,at7.a,at8.a,at9.a
at.l.1.8,at1.a,at2.a,at3.a,at5.a,at6.a,at7.a,at8.a,at9.a
at.l.1.9,at1.a,at2.a,at3.a,at5.a,at6.a,at7.a,at8.a,at9.a
at.l.2.11,at1.a,at2.a,at3.a,at5.a,at6.a,at7.a,at8.a,at9.a
at.l.2.12,at1.a,at2.a,at3.a,at5.a,at6.a,at7.a,at8.a,at9.a
at.l.2.13,at1.a,at2.a,at3.a,at5.a,at6.a,at7.a,at8.a,at9.a
at.l.2.14,at1.a,at2.a,at3.a,at5.a,at6.a,at7.a,at8.a,at9.a
at.l.2.15,at1.a,at2.a,at3.a,at5.a,at6.a,at7.a,at8.a,at9.a
at.l.2.16,at1.a,at2.a,at3.a,at5.a,at6.a,at7.a,at8.a,at9.a
at.l.2.17,at1.a,at2.a,at3.a,at5.a,at6.a,at7.a,at8.a,at9.a
at.l.2.18,at1.a,at2.a,at3.a,at5.a,at6.a,at7.a,at8.a,at9.a
at.l.2.19,at1.a,at2.a,at3.a,at5.a,at6.a,at7.a,at8.a,at9.a
at.l.2.20,at1.a,at2.a,at3.a,at5.a,at6.a,at7.a,at8.a,at9.a
