id,sex,stage,genotype,rep
pd1.a.1,4,adults,1,1
pd1.a.2,4,adults,1,2
pd2.a.1,4,adults,2,1
pd2.a.2,4,adults,2,2
pd3.a.1,4,adults,3,1
pd3.a.2,4,adults,3,2
pd4.a.1,4,adults,4,1
pd4.a.2,4,adults,4,2
pd5.a.1,4,adults,5,1
pd5.a.2,4,adults,5,2
pd6.a.1,4,adults,6,1
pd6.a.2,4,adults,6,2
pd7.a.1,4,adults,7,1
pd7.a.2,4,adults,7,2
pd8.a.1,4,adults,8,1
pd8.a.2,4,adults,8,2
pd9.a.1,4,adults,9,1
pd9.a.2,4,adults,9,2
pd10.a.1,4,adults,10,1
pd10.a.2,4,adults,10,2
pd11.a.1,4,adults,11,1
pd11.a.2,4,adults,11,2
pd12.a.1,4,adults,12,1
pd12.a.2,4,adults,12,2
pd13.a.1,4,adults,13,1
pd13.a.2,4,adults,13,2
pd14.a.1,4,adults,14,1
pd14.a.2,4,adults,14,2
pd15.a.1,4,adults,15,1
pd15.a.2,4,adults,15,2
pd1a.a.1,4,adults,1a,1
pd1a.a.2,4,adults,1a,2
pd2a.a.1,4,adults,2a,1
pd2a.a.2,4,adults,2a,2
pd3a.a.1,4,adults,3a,1
pd3a.a.2,4,adults,3a,2
pd4a.a.1,4,adults,4a,1
pd4a.a.2,4,adults,4a,2
pd15.l.13.1,4,larvae,15,1
pd15.l.13.2,4,larvae,15,2
pd5.l.14.1,4,larvae,5,1
pd5.l.14.2,4,larvae,5,2
pd5.l.14.3,4,larvae,5,3
pd9.l.14.1,4,larvae,9,1
pd9.l.14.2,4,larvae,9,2
pd9.l.14.3,4,larvae,9,3
pd9.l.14.4,4,larvae,9,4
pd9.l.14.5,4,larvae,9,5
pd9.l.14.6,4,larvae,9,6
pd9.l.14.7,4,larvae,9,7
pd13.l.14.1,4,larvae,13,1
pd13.l.14.2,4,larvae,13,2
pd13.l.14.3,4,larvae,13,3
pd13.l.14.4,4,larvae,13,4
pd13.l.14.5,4,larvae,13,5
pd13.l.14.6,4,larvae,13,6
pd13.l.14.7,4,larvae,13,7
pd13.l.14.8,4,larvae,13,8
pd13.l.14.9,4,larvae,13,9
pd13.l.14.10,4,larvae,13,10
pd13.l.14.11,4,larvae,13,11
pd13.l.14.12,4,larvae,13,12
pd13.l.14.13,4,larvae,13,13
pd13.l.14.14,4,larvae,13,14
pd13.l.14.15,4,larvae,13,15
pd14.l.14.1,4,larvae,14,1
pd14.l.14.2,4,larvae,14,2
pd14.l.14.3,4,larvae,14,3
pd14.l.14.4,4,larvae,14,4
pd15.l.14.1,4,larvae,15,1
pd15.l.14.2,4,larvae,15,2
pd15.l.14.3,4,larvae,15,3
pd15.l.14.4,4,larvae,15,4
pd15.l.14.5,4,larvae,15,5
pd15.l.14.6,4,larvae,15,6
pd15.l.14.7,4,larvae,15,7
pd15.l.14.8,4,larvae,15,8
pd15.l.14.9,4,larvae,15,9
pd15.l.14.10,4,larvae,15,10
pd5.e.1,4,egg,5,1
pd9.e.1,4,egg,9,1
pd9.e.2,4,egg,9,2
pd14.e.1,4,egg,14,1
pd14.e.2,4,egg,14,2
pdu.e.1,4,egg,u,1
pdu.e.2,4,egg,u,2
pdu.e.3,4,egg,u,3
pdu.e.4,4,egg,u,4
